addr,size,name,is_thunk,xref_count,calls_out,status
0048b420,973,FUN_0048b420,false,1,12,RAW-src
0048b7f0,6406,FUN_0048b7f0,false,1,25,RAW-src
0048d110,176,FUN_0048d110,false,1,7,RAW-src
0048d1c0,32,FUN_0048d1c0,false,1,2,RAW-src
0048d1e0,13,FUN_0048d1e0,false,1,1,RAW-src
0048d1f0,1701,FUN_0048d1f0,false,1,14,RAW-src
0048d8c0,20,FUN_0048d8c0,false,1,1,RAW-src
0048d8e0,749,FUN_0048d8e0,false,1,13,RAW-src
0048dcc0,69,FUN_0048dcc0,false,1,0,RAW-src
0048de40,20,FUN_0048de40,false,1,1,RAW-src
0048de60,871,FUN_0048de60,false,8,11,RAW-src
0048e1d0,4073,FUN_0048e1d0,false,3,40,RAW-src
0048f1c0,146,FUN_0048f1c0,false,28,7,RAW-src
0048f260,31,FUN_0048f260,false,1,2,RAW-src
0048f280,128,FUN_0048f280,false,1,1,RAW-src
0048f300,5219,FUN_0048f300,false,1,26,RAW-src
00490780,69,FUN_00490780,false,1,4,RAW-src
004907d0,20,FUN_004907d0,false,1,1,RAW-src
004907f0,32,FUN_004907f0,false,1,2,RAW-src
00490810,13,FUN_00490810,false,1,1,RAW-src
00490820,4628,FUN_00490820,false,1,45,RAW-src
00491a40,199,FUN_00491a40,false,12,4,RAW-src
00491b10,32,FUN_00491b10,false,1,2,RAW-src
00491b30,13,FUN_00491b30,false,1,1,RAW-src
00491b40,1685,FUN_00491b40,false,1,19,RAW-src
004921e0,3420,FUN_004921e0,false,1,21,RAW-src
00493340,27,FUN_00493340,false,1,1,RAW-src
00493360,32,FUN_00493360,false,1,2,RAW-src
00493380,13,FUN_00493380,false,1,1,RAW-src
00493390,5495,FUN_00493390,false,1,23,RAW-src
00494910,4875,FUN_00494910,false,1,47,RAW-src
00495c20,282,FUN_00495c20,false,1,5,RAW-src
00495d40,31,FUN_00495d40,false,1,2,RAW-src
00495d60,274,FUN_00495d60,false,1,3,RAW-src
00495e80,6307,FUN_00495e80,false,1,49,RAW-src
004977c0,166,FUN_004977c0,false,2,2,RAW-src
00497870,31,FUN_00497870,false,1,2,RAW-src
00497890,233,FUN_00497890,false,2,3,RAW-src
00497980,336,FUN_00497980,false,2,0,RAW-src
00497ad0,1426,FUN_00497ad0,false,1,14,RAW-src
00498070,1581,FUN_00498070,false,1,9,RAW-src
004986a0,1203,FUN_004986a0,false,2,8,RAW-src
00498b60,2796,FUN_00498b60,false,1,22,RAW-src
00499650,729,FUN_00499650,false,1,9,RAW-src
00499ed0,20,FUN_00499ed0,false,1,1,RAW-src
00499ef0,4012,FUN_00499ef0,false,1,39,RAW-src
0049aeb0,4512,FUN_0049aeb0,false,4,23,RAW-src
0049c0f0,32,FUN_0049c0f0,false,1,2,RAW-src
0049c110,13,FUN_0049c110,false,1,1,RAW-src
0049c120,31,FUN_0049c120,false,1,1,RAW-src
0049c13f,2764,FUN_0049c13f,false,0,15,RAW-src
0049cc40,32,FUN_0049cc40,false,1,2,RAW-src
0049cc60,13,FUN_0049cc60,false,1,1,RAW-src
0049d270,4519,FUN_0049d270,false,1,45,RAW-src
0049e420,69,FUN_0049e420,false,1,0,RAW-src
0049e470,75,FUN_0049e470,false,1,3,RAW-src
0049e540,110,FUN_0049e540,false,1,2,RAW-src
0049e5b0,31,FUN_0049e5b0,false,1,2,RAW-src
0049e5d0,124,FUN_0049e5d0,false,1,3,RAW-src
0049e650,5858,FUN_0049e650,false,1,24,RAW-src
0049fd40,6468,FUN_0049fd40,false,1,59,RAW-src
004a1690,164,FUN_004a1690,false,1,7,RAW-src
004a1740,4160,FUN_004a1740,false,2,15,RAW-src
004a2780,68,FUN_004a2780,false,1,0,RAW-src
004a27d0,334,FUN_004a27d0,false,1,0,RAW-src
